Region,LAWA Site ID,Site name,Estuary name,Date sampled ,Indicator,Units,Indicator value,,,,,,,,
Auckland,LAWA-103132,Kaipara Flats,Kaipara Harbour (South),2010/01/01,Macrofauna,N/A,2.45,,,,,,,,
Auckland,LAWA-103133,Kakaraia Flats,Kaipara Harbour (South),2021/01/01,Mud_content,%,8.4,,,,,,,,
Auckland,LAWA-103133,Kakaraia Flats,Kaipara Harbour (South),2021/01/01,Macrofauna,N/A,3.86,,,,,,,,
Auckland,LAWA-103133,Kakaraia Flats,Kaipara Harbour (South),2020/01/01,Mud_content,%,5.8,,,,,,,,
Auckland,LAWA-103133,Kakaraia Flats,Kaipara Harbour (South),2020/01/01,Macrofauna,N/A,3.64,,,,,,,,
Auckland,LAWA-103133,Kakaraia Flats,Kaipara Harbour (South),2019/01/01,Arsenic,mg/kg,6.2,,,,,,,,
Auckland,LAWA-103133,Kakaraia Flats,Kaipara Harbour (South),2019/01/01,Copper,mg/kg,2.5,,,,,,,,
Auckland,LAWA-103133,Kakaraia Flats,Kaipara Harbour (South),2019/01/01,Lead,mg/kg,2.5,,,,,,,,
Auckland,LAWA-103133,Kakaraia Flats,Kaipara Harbour (South),2019/01/01,Mercury,mg/kg,<ALD,,,,,,,,
Auckland,LAWA-103133,Kakaraia Flats,Kaipara Harbour (South),2019/01/01,Zinc,mg/kg,28,,,,,,,,
Auckland,LAWA-103133,Kakaraia Flats,Kaipara Harbour (South),2019/01/01,Mud_content,%,6.7,,,,,,,,
Auckland,LAWA-103133,Kakaraia Flats,Kaipara Harbour (South),2019/01/01,Macrofauna,N/A,3.37,,,,,,,,
Auckland,LAWA-103133,Kakaraia Flats,Kaipara Harbour (South),2018/01/01,Mud_content,%,3.7,,,,,,,,
Auckland,LAWA-103133,Kakaraia Flats,Kaipara Harbour (South),2018/01/01,Macrofauna,N/A,3.36,,,,,,,,
Auckland,LAWA-103133,Kakaraia Flats,Kaipara Harbour (South),2017/01/01,Mud_content,%,7.2,,,,,,,,
Auckland,LAWA-103133,Kakaraia Flats,Kaipara Harbour (South),2017/01/01,Macrofauna,N/A,3.99,,,,,,,,
Auckland,LAWA-103133,Kakaraia Flats,Kaipara Harbour (South),2016/01/01,Mud_content,%,2.8,,,,,,,,
Auckland,LAWA-103133,Kakaraia Flats,Kaipara Harbour (South),2016/01/01,Macrofauna,N/A,3.15,,,,,,,,
Auckland,LAWA-103133,Kakaraia Flats,Kaipara Harbour (South),2015/01/01,Mud_content,%,2.7,,,,,,,,
Auckland,LAWA-103133,Kakaraia Flats,Kaipara Harbour (South),2015/01/01,Macrofauna,N/A,3.09,,,,,,,,
Auckland,LAWA-103133,Kakaraia Flats,Kaipara Harbour (South),2014/01/01,Mud_content,%,2.7,,,,,,,,
Auckland,LAWA-103133,Kakaraia Flats,Kaipara Harbour (South),2014/01/01,Macrofauna,N/A,3.12,,,,,,,,
Auckland,LAWA-103133,Kakaraia Flats,Kaipara Harbour (South),2013/01/01,Mud_content,%,2.1,,,,,,,,
Auckland,LAWA-103133,Kakaraia Flats,Kaipara Harbour (South),2013/01/01,Macrofauna,N/A,2.96,,,,,,,,
Auckland,LAWA-103133,Kakaraia Flats,Kaipara Harbour (South),2012/01/01,Mud_content,%,3.1,,,,,,,,
Auckland,LAWA-103133,Kakaraia Flats,Kaipara Harbour (South),2012/01/01,Macrofauna,N/A,2.80,,,,,,,,
Auckland,LAWA-103133,Kakaraia Flats,Kaipara Harbour (South),2011/01/01,Mud_content,%,2.4,,,,,,,,
Auckland,LAWA-103133,Kakaraia Flats,Kaipara Harbour (South),2011/01/01,Macrofauna,N/A,3.31,,,,,,,,
Auckland,LAWA-103133,Kakaraia Flats,Kaipara Harbour (South),2010/01/01,Mud_content,%,4.9,,,,,,,,
Auckland,LAWA-103133,Kakaraia Flats,Kaipara Harbour (South),2010/01/01,Macrofauna,N/A,3.04,,,,,,,,
Auckland,LAWA-103134,Ngapuke Creek,Kaipara Harbour (South),2021/01/01,Mud_content,%,4.4,,,,,,,,
Auckland,LAWA-103134,Ngapuke Creek,Kaipara Harbour (South),2021/01/01,Macrofauna,N/A,2.97,,,,,,,,
Auckland,LAWA-103134,Ngapuke Creek,Kaipara Harbour (South),2020/01/01,Mud_content,%,4.5,,,,,,,,
Auckland,LAWA-103134,Ngapuke Creek,Kaipara Harbour (South),2020/01/01,Macrofauna,N/A,3.19,,,,,,,,
Auckland,LAWA-103134,Ngapuke Creek,Kaipara Harbour (South),2019/01/01,Mud_content,%,5.2,,,,,,,,
Auckland,LAWA-103134,Ngapuke Creek,Kaipara Harbour (South),2019/01/01,Macrofauna,N/A,3.03,,,,,,,,
Auckland,LAWA-103134,Ngapuke Creek,Kaipara Harbour (South),2018/01/01,Mud_content,%,3.2,,,,,,,,
Auckland,LAWA-103134,Ngapuke Creek,Kaipara Harbour (South),2018/01/01,Macrofauna,N/A,3.51,,,,,,,,
Auckland,LAWA-103134,Ngapuke Creek,Kaipara Harbour (South),2017/01/01,Mud_content,%,2.7,,,,,,,,
Auckland,LAWA-103134,Ngapuke Creek,Kaipara Harbour (South),2017/01/01,Macrofauna,N/A,3.28,,,,,,,,
Auckland,LAWA-103134,Ngapuke Creek,Kaipara Harbour (South),2016/01/01,Mud_content,%,1.8,,,,,,,,
Auckland,LAWA-103134,Ngapuke Creek,Kaipara Harbour (South),2016/01/01,Macrofauna,N/A,3.06,,,,,,,,
Auckland,LAWA-103134,Ngapuke Creek,Kaipara Harbour (South),2015/01/01,Mud_content,%,2.3,,,,,,,,
Auckland,LAWA-103134,Ngapuke Creek,Kaipara Harbour (South),2015/01/01,Macrofauna,N/A,3.08,,,,,,,,
Auckland,LAWA-103134,Ngapuke Creek,Kaipara Harbour (South),2014/01/01,Mud_content,%,3.5,,,,,,,,
Auckland,LAWA-103134,Ngapuke Creek,Kaipara Harbour (South),2014/01/01,Macrofauna,N/A,3.38,,,,,,,,
Auckland,LAWA-103134,Ngapuke Creek,Kaipara Harbour (South),2013/01/01,Mud_content,%,3.0,,,,,,,,
Auckland,LAWA-103134,Ngapuke Creek,Kaipara Harbour (South),2013/01/01,Macrofauna,N/A,3.29,,,,,,,,
Auckland,LAWA-103134,Ngapuke Creek,Kaipara Harbour (South),2012/01/01,Mud_content,%,1.4,,,,,,,,
Auckland,LAWA-103134,Ngapuke Creek,Kaipara Harbour (South),2012/01/01,Macrofauna,N/A,2.66,,,,,,,,
Auckland,LAWA-103134,Ngapuke Creek,Kaipara Harbour (South),2011/01/01,Mud_content,%,1.5,,,,,,,,
Auckland,LAWA-103134,Ngapuke Creek,Kaipara Harbour (South),2011/01/01,Macrofauna,N/A,2.91,,,,,,,,
Auckland,LAWA-103134,Ngapuke Creek,Kaipara Harbour (South),2010/01/01,Mud_content,%,1.9,,,,,,,,
Auckland,LAWA-103134,Ngapuke Creek,Kaipara Harbour (South),2010/01/01,Macrofauna,N/A,2.56,,,,,,,,
Auckland,LAWA-103131,Kaipara Bank,Kaipara Harbour (South),2022/01/01,Mud_content,%,14.2,,,,,,,,
Auckland,LAWA-103133,Kakaraia Flats,Kaipara Harbour (South),2022/01/01,Mud_content,%,9.0,,,,,,,,
Auckland,LAWA-103134,Ngapuke Creek,Kaipara Harbour (South),2022/01/01,Mud_content,%,5.7,,,,,,,,
Auckland,LAWA-103135,Te Ngaio Point,Kaipara Harbour (South),2021/01/01,Mud_content,%,2.1,,,,,,,,
Auckland,LAWA-103135,Te Ngaio Point,Kaipara Harbour (South),2021/01/01,Macrofauna,N/A,2.70,,,,,,,,
Auckland,LAWA-103135,Te Ngaio Point,Kaipara Harbour (South),2020/01/01,Mud_content,%,1.7,,,,,,,,
Auckland,LAWA-103135,Te Ngaio Point,Kaipara Harbour (South),2020/01/01,Macrofauna,N/A,2.48,,,,,,,,
Auckland,LAWA-103135,Te Ngaio Point,Kaipara Harbour (South),2019/01/01,Arsenic,mg/kg,4.2,,,,,,,,
Auckland,LAWA-103135,Te Ngaio Point,Kaipara Harbour (South),2019/01/01,Copper,mg/kg,0.9,,,,,,,,
Auckland,LAWA-103135,Te Ngaio Point,Kaipara Harbour (South),2019/01/01,Lead,mg/kg,0.9,,,,,,,,
Auckland,LAWA-103135,Te Ngaio Point,Kaipara Harbour (South),2019/01/01,Mercury,mg/kg,<ALD,,,,,,,,
Auckland,LAWA-103135,Te Ngaio Point,Kaipara Harbour (South),2019/01/01,Zinc,mg/kg,8,,,,,,,,
Auckland,LAWA-103135,Te Ngaio Point,Kaipara Harbour (South),2019/01/01,Mud_content,%,1.0,,,,,,,,
Auckland,LAWA-103135,Te Ngaio Point,Kaipara Harbour (South),2019/01/01,Macrofauna,N/A,2.16,,,,,,,,
Auckland,LAWA-103135,Te Ngaio Point,Kaipara Harbour (South),2018/01/01,Mud_content,%,1.0,,,,,,,,
Auckland,LAWA-103135,Te Ngaio Point,Kaipara Harbour (South),2018/01/01,Macrofauna,N/A,2.11,,,,,,,,
Auckland,LAWA-103135,Te Ngaio Point,Kaipara Harbour (South),2017/01/01,Mud_content,%,1.0,,,,,,,,
Auckland,LAWA-103135,Te Ngaio Point,Kaipara Harbour (South),2017/01/01,Macrofauna,N/A,1.90,,,,,,,,
Auckland,LAWA-103135,Te Ngaio Point,Kaipara Harbour (South),2016/01/01,Mud_content,%,0.8,,,,,,,,
Auckland,LAWA-103135,Te Ngaio Point,Kaipara Harbour (South),2016/01/01,Macrofauna,N/A,1.98,,,,,,,,
Auckland,LAWA-103135,Te Ngaio Point,Kaipara Harbour (South),2015/01/01,Mud_content,%,0.3,,,,,,,,
Auckland,LAWA-103135,Te Ngaio Point,Kaipara Harbour (South),2015/01/01,Macrofauna,N/A,2.34,,,,,,,,
Auckland,LAWA-103135,Te Ngaio Point,Kaipara Harbour (South),2014/01/01,Mud_content,%,0.4,,,,,,,,
Auckland,LAWA-103135,Te Ngaio Point,Kaipara Harbour (South),2014/01/01,Macrofauna,N/A,2.47,,,,,,,,
Auckland,LAWA-103135,Te Ngaio Point,Kaipara Harbour (South),2022/01/01,Mud_content,%,1.5,,,,,,,,
Auckland,LAWA-103136,Cowans Bay,Mahurangi Harbour,2022/01/01,Arsenic,mg/kg,10.3,,,,,,,,
Auckland,LAWA-103136,Cowans Bay,Mahurangi Harbour,2022/01/01,Cadmium,mg/kg,0.01,,,,,,,,
Auckland,LAWA-103136,Cowans Bay,Mahurangi Harbour,2022/01/01,Copper,mg/kg,3.7,,,,,,,,
Auckland,LAWA-103136,Cowans Bay,Mahurangi Harbour,2022/01/01,Lead,mg/kg,3.3,,,,,,,,
Auckland,LAWA-103136,Cowans Bay,Mahurangi Harbour,2022/01/01,Mercury,mg/kg,0.01,,,,,,,,
Auckland,LAWA-103136,Cowans Bay,Mahurangi Harbour,2022/01/01,Zinc,mg/kg,28,,,,,,,,
Auckland,LAWA-103136,Cowans Bay,Mahurangi Harbour,2018/01/01,Mud_content,%,25.0,,,,,,,,
Auckland,LAWA-103136,Cowans Bay,Mahurangi Harbour,2017/01/01,Mud_content,%,24.9,,,,,,,,
Auckland,LAWA-103136,Cowans Bay,Mahurangi Harbour,2017/01/01,Macrofauna,N/A,4.45,,,,,,,,
Auckland,LAWA-103136,Cowans Bay,Mahurangi Harbour,2016/01/01,Mud_content,%,23.4,,,,,,,,
Auckland,LAWA-103136,Cowans Bay,Mahurangi Harbour,2016/01/01,Macrofauna,N/A,4.83,,,,,,,,
Auckland,LAWA-103136,Cowans Bay,Mahurangi Harbour,2011/01/01,Mud_content,%,24.1,,,,,,,,
Auckland,LAWA-103136,Cowans Bay,Mahurangi Harbour,2010/01/01,Mud_content,%,25.5,,,,,,,,
Auckland,LAWA-103136,Cowans Bay,Mahurangi Harbour,2010/01/01,Macrofauna,N/A,4.30,,,,,,,,
Auckland,LAWA-103137,Dyers Creek,Mahurangi Harbour,2022/01/01,Arsenic,mg/kg,4.8,,,,,,,,
Auckland,LAWA-103137,Dyers Creek,Mahurangi Harbour,2022/01/01,Cadmium,mg/kg,<ALD,,,,,,,,
Auckland,LAWA-103137,Dyers Creek,Mahurangi Harbour,2022/01/01,Copper,mg/kg,2.4,,,,,,,,
Auckland,LAWA-103137,Dyers Creek,Mahurangi Harbour,2022/01/01,Lead,mg/kg,1.9,,,,,,,,
Auckland,LAWA-103137,Dyers Creek,Mahurangi Harbour,2022/01/01,Mercury,mg/kg,0.01,,,,,,,,
Auckland,LAWA-103137,Dyers Creek,Mahurangi Harbour,2022/01/01,Zinc,mg/kg,18,,,,,,,,
Auckland,LAWA-103137,Dyers Creek,Mahurangi Harbour,2021/01/01,Mud_content,%,8.6,,,,,,,,
Auckland,LAWA-103137,Dyers Creek,Mahurangi Harbour,2021/01/01,Macrofauna,N/A,3.60,,,,,,,,
Auckland,LAWA-103137,Dyers Creek,Mahurangi Harbour,2020/01/01,Mud_content,%,8.7,,,,,,,,
Auckland,LAWA-103137,Dyers Creek,Mahurangi Harbour,2020/01/01,Macrofauna,N/A,4.10,,,,,,,,
Auckland,LAWA-103137,Dyers Creek,Mahurangi Harbour,2019/01/01,Mud_content,%,11.0,,,,,,,,
