Council/Agency,Region,Site name,Estuary name,Latitude,Longitude,Date sampled ,Indicator,Units,Indicator value
Auckland Council,Auckland,Hobsonville,Waitematā Harbour (Central),-36.79921801,174.6775787,1/01/2014,Mud_content,%,3.3
Auckland Council,Auckland,Hobsonville,Waitematā Harbour (Central),-36.79921801,174.6775787,1/01/2014,Macrofauna,N/A,2.37
Auckland Council,Auckland,Hobsonville,Waitematā Harbour (Central),-36.79921801,174.6775787,1/01/2013,Mud_content,%,3.9
Auckland Council,Auckland,Hobsonville,Waitematā Harbour (Central),-36.79921801,174.6775787,1/01/2013,Macrofauna,N/A,2.22
Auckland Council,Auckland,Hobsonville,Waitematā Harbour (Central),-36.79921801,174.6775787,1/01/2012,Mud_content,%,4.2
Auckland Council,Auckland,Hobsonville,Waitematā Harbour (Central),-36.79921801,174.6775787,1/01/2012,Macrofauna,N/A,2.26
Auckland Council,Auckland,Hobsonville,Waitematā Harbour (Central),-36.79921801,174.6775787,1/01/2011,Mud_content,%,4
Auckland Council,Auckland,Hobsonville,Waitematā Harbour (Central),-36.79921801,174.6775787,1/01/2011,Macrofauna,N/A,1.98
Auckland Council,Auckland,Hobsonville,Waitematā Harbour (Central),-36.79921801,174.6775787,1/01/2010,Mud_content,%,3.3
Auckland Council,Auckland,Hobsonville,Waitematā Harbour (Central),-36.79921801,174.6775787,1/01/2010,Macrofauna,N/A,1.94
Auckland Council,Auckland,Island Bay,Waitematā Harbour (Central),-36.80891696,174.6883834,1/01/2018,Arsenic,mg/kg,10.5
Auckland Council,Auckland,Island Bay,Waitematā Harbour (Central),-36.80891696,174.6883834,1/01/2018,Copper,mg/kg,6.9
Auckland Council,Auckland,Island Bay,Waitematā Harbour (Central),-36.80891696,174.6883834,1/01/2018,Lead,mg/kg,12.8
Auckland Council,Auckland,Island Bay,Waitematā Harbour (Central),-36.80891696,174.6883834,1/01/2018,Mercury,mg/kg,0.06
Auckland Council,Auckland,Island Bay,Waitematā Harbour (Central),-36.80891696,174.6883834,1/01/2018,Zinc,mg/kg,62
Auckland Council,Auckland,Island Bay,Waitematā Harbour (Central),-36.80891696,174.6883834,1/01/2018,Mud_content,%,7.7
Auckland Council,Auckland,Island Bay,Waitematā Harbour (Central),-36.80891696,174.6883834,1/01/2018,Macrofauna,N/A,3.55
Auckland Council,Auckland,Island Bay,Waitematā Harbour (Central),-36.80891696,174.6883834,1/01/2013,Arsenic,mg/kg,11.3
Auckland Council,Auckland,Island Bay,Waitematā Harbour (Central),-36.80891696,174.6883834,1/01/2013,Copper,mg/kg,5.6
Auckland Council,Auckland,Island Bay,Waitematā Harbour (Central),-36.80891696,174.6883834,1/01/2013,Lead,mg/kg,12
Auckland Council,Auckland,Island Bay,Waitematā Harbour (Central),-36.80891696,174.6883834,1/01/2013,Mercury,mg/kg,0.04
Auckland Council,Auckland,Island Bay,Waitematā Harbour (Central),-36.80891696,174.6883834,1/01/2013,Zinc,mg/kg,51
Auckland Council,Auckland,Island Bay,Waitematā Harbour (Central),-36.80891696,174.6883834,1/01/2013,Mud_content,%,2.7
Auckland Council,Auckland,Island Bay,Waitematā Harbour (Central),-36.80891696,174.6883834,1/01/2012,Arsenic,mg/kg,7.7
Auckland Council,Auckland,Island Bay,Waitematā Harbour (Central),-36.80891696,174.6883834,1/01/2012,Copper,mg/kg,5.7
Auckland Council,Auckland,Island Bay,Waitematā Harbour (Central),-36.80891696,174.6883834,1/01/2012,Lead,mg/kg,11.4
Auckland Council,Auckland,Island Bay,Waitematā Harbour (Central),-36.80891696,174.6883834,1/01/2012,Mercury,mg/kg,0.04
Auckland Council,Auckland,Island Bay,Waitematā Harbour (Central),-36.80891696,174.6883834,1/01/2012,Zinc,mg/kg,47
Auckland Council,Auckland,Island Bay,Waitematā Harbour (Central),-36.80891696,174.6883834,1/01/2012,Mud_content,%,4.3
Auckland Council,Auckland,Island Bay,Waitematā Harbour (Central),-36.80891696,174.6883834,1/01/2012,Macrofauna,N/A,3.47
Auckland Council,Auckland,Kendall Bay,Waitematā Harbour (Central),-36.824938,174.7083002,1/01/2019,Arsenic,mg/kg,8.6
Auckland Council,Auckland,Kendall Bay,Waitematā Harbour (Central),-36.824938,174.7083002,1/01/2019,Copper,mg/kg,5.7
Auckland Council,Auckland,Kendall Bay,Waitematā Harbour (Central),-36.824938,174.7083002,1/01/2019,Lead,mg/kg,8.4
Auckland Council,Auckland,Kendall Bay,Waitematā Harbour (Central),-36.824938,174.7083002,1/01/2019,Mercury,mg/kg,0.03
Auckland Council,Auckland,Kendall Bay,Waitematā Harbour (Central),-36.824938,174.7083002,1/01/2019,Zinc,mg/kg,42
Auckland Council,Auckland,Kendall Bay,Waitematā Harbour (Central),-36.824938,174.7083002,1/01/2019,Mud_content,%,4.9
Auckland Council,Auckland,Kendall Bay,Waitematā Harbour (Central),-36.824938,174.7083002,1/01/2019,Macrofauna,N/A,3.27
Auckland Council,Auckland,Kendall Bay,Waitematā Harbour (Central),-36.824938,174.7083002,1/01/2017,Arsenic,mg/kg,7.6
Auckland Council,Auckland,Kendall Bay,Waitematā Harbour (Central),-36.824938,174.7083002,1/01/2017,Copper,mg/kg,5.1
Auckland Council,Auckland,Kendall Bay,Waitematā Harbour (Central),-36.824938,174.7083002,1/01/2017,Lead,mg/kg,7.1
Auckland Council,Auckland,Kendall Bay,Waitematā Harbour (Central),-36.824938,174.7083002,1/01/2017,Mercury,mg/kg,0.02
Auckland Council,Auckland,Kendall Bay,Waitematā Harbour (Central),-36.824938,174.7083002,1/01/2017,Zinc,mg/kg,38
Auckland Council,Auckland,Kendall Bay,Waitematā Harbour (Central),-36.824938,174.7083002,1/01/2017,Mud_content,%,7.4
Auckland Council,Auckland,Kendall Bay,Waitematā Harbour (Central),-36.824938,174.7083002,1/01/2017,Macrofauna,N/A,3.71
Auckland Council,Auckland,Kendall Bay,Waitematā Harbour (Central),-36.824938,174.7083002,1/01/2012,Arsenic,mg/kg,5.1
Auckland Council,Auckland,Kendall Bay,Waitematā Harbour (Central),-36.824938,174.7083002,1/01/2012,Copper,mg/kg,4.9
Auckland Council,Auckland,Kendall Bay,Waitematā Harbour (Central),-36.824938,174.7083002,1/01/2012,Lead,mg/kg,7.3
Auckland Council,Auckland,Kendall Bay,Waitematā Harbour (Central),-36.824938,174.7083002,1/01/2012,Mercury,mg/kg,0.03
Auckland Council,Auckland,Kendall Bay,Waitematā Harbour (Central),-36.824938,174.7083002,1/01/2012,Zinc,mg/kg,32
Auckland Council,Auckland,Kendall Bay,Waitematā Harbour (Central),-36.824938,174.7083002,1/01/2012,Mud_content,%,6
Auckland Council,Auckland,Kendall Bay,Waitematā Harbour (Central),-36.824938,174.7083002,1/01/2012,Macrofauna,N/A,4.06
Auckland Council,Auckland,Kendall Bay,Waitematā Harbour (Central),-36.824938,174.7083002,1/01/2010,Copper,mg/kg,4
Auckland Council,Auckland,Kendall Bay,Waitematā Harbour (Central),-36.824938,174.7083002,1/01/2010,Lead,mg/kg,7.4
Auckland Council,Auckland,Kendall Bay,Waitematā Harbour (Central),-36.824938,174.7083002,1/01/2010,Zinc,mg/kg,32
Auckland Council,Auckland,Kendall Bay,Waitematā Harbour (Central),-36.824938,174.7083002,1/01/2010,Mud_content,%,5.5
Auckland Council,Auckland,Kendall Bay,Waitematā Harbour (Central),-36.824938,174.7083002,1/01/2010,Macrofauna,N/A,4.12
Auckland Council,Auckland,Meola Inner,Waitematā Harbour (Central),-36.85698615,174.7092041,1/01/2020,Arsenic,mg/kg,10.9
Auckland Council,Auckland,Meola Inner,Waitematā Harbour (Central),-36.85698615,174.7092041,1/01/2020,Copper,mg/kg,33.6
Auckland Council,Auckland,Meola Inner,Waitematā Harbour (Central),-36.85698615,174.7092041,1/01/2020,Lead,mg/kg,54.9
Auckland Council,Auckland,Meola Inner,Waitematā Harbour (Central),-36.85698615,174.7092041,1/01/2020,Mercury,mg/kg,0.21
Auckland Council,Auckland,Meola Inner,Waitematā Harbour (Central),-36.85698615,174.7092041,1/01/2020,Zinc,mg/kg,279
Auckland Council,Auckland,Meola Inner,Waitematā Harbour (Central),-36.85698615,174.7092041,1/01/2020,Mud_content,%,60.9
Auckland Council,Auckland,Meola Inner,Waitematā Harbour (Central),-36.85698615,174.7092041,1/01/2020,Macrofauna,N/A,4.79
Auckland Council,Auckland,Meola Inner,Waitematā Harbour (Central),-36.85698615,174.7092041,1/01/2018,Arsenic,mg/kg,10.1
Auckland Council,Auckland,Meola Inner,Waitematā Harbour (Central),-36.85698615,174.7092041,1/01/2018,Copper,mg/kg,29.7
Auckland Council,Auckland,Meola Inner,Waitematā Harbour (Central),-36.85698615,174.7092041,1/01/2018,Lead,mg/kg,48.6
Auckland Council,Auckland,Meola Inner,Waitematā Harbour (Central),-36.85698615,174.7092041,1/01/2018,Mercury,mg/kg,0.22
Auckland Council,Auckland,Meola Inner,Waitematā Harbour (Central),-36.85698615,174.7092041,1/01/2018,Zinc,mg/kg,258
Auckland Council,Auckland,Meola Inner,Waitematā Harbour (Central),-36.85698615,174.7092041,1/01/2018,Mud_content,%,74.2
Auckland Council,Auckland,Meola Inner,Waitematā Harbour (Central),-36.85698615,174.7092041,1/01/2018,Macrofauna,N/A,4.57
Auckland Council,Auckland,Meola Inner,Waitematā Harbour (Central),-36.85698615,174.7092041,1/01/2016,Arsenic,mg/kg,9.8
Auckland Council,Auckland,Meola Inner,Waitematā Harbour (Central),-36.85698615,174.7092041,1/01/2016,Copper,mg/kg,31.2
Auckland Council,Auckland,Meola Inner,Waitematā Harbour (Central),-36.85698615,174.7092041,1/01/2016,Lead,mg/kg,51.4
Auckland Council,Auckland,Meola Inner,Waitematā Harbour (Central),-36.85698615,174.7092041,1/01/2016,Mercury,mg/kg,0.25
Auckland Council,Auckland,Meola Inner,Waitematā Harbour (Central),-36.85698615,174.7092041,1/01/2016,Zinc,mg/kg,232
Auckland Council,Auckland,Meola Inner,Waitematā Harbour (Central),-36.85698615,174.7092041,1/01/2016,Mud_content,%,66.9
Auckland Council,Auckland,Meola Inner,Waitematā Harbour (Central),-36.85698615,174.7092041,1/01/2016,Macrofauna,N/A,4.55
Auckland Council,Auckland,Meola Inner,Waitematā Harbour (Central),-36.85698615,174.7092041,1/01/2013,Arsenic,mg/kg,10.3
Auckland Council,Auckland,Meola Inner,Waitematā Harbour (Central),-36.85698615,174.7092041,1/01/2013,Copper,mg/kg,28.7
Auckland Council,Auckland,Meola Inner,Waitematā Harbour (Central),-36.85698615,174.7092041,1/01/2013,Lead,mg/kg,56.3
Auckland Council,Auckland,Meola Inner,Waitematā Harbour (Central),-36.85698615,174.7092041,1/01/2013,Mercury,mg/kg,0.26
Auckland Council,Auckland,Meola Inner,Waitematā Harbour (Central),-36.85698615,174.7092041,1/01/2013,Zinc,mg/kg,253
Auckland Council,Auckland,Meola Inner,Waitematā Harbour (Central),-36.85698615,174.7092041,1/01/2013,Mud_content,%,50
Auckland Council,Auckland,Meola Inner,Waitematā Harbour (Central),-36.85698615,174.7092041,1/01/2013,Macrofauna,N/A,5.2
Auckland Council,Auckland,Meola Inner,Waitematā Harbour (Central),-36.85698615,174.7092041,1/01/2011,Copper,mg/kg,28.3
Auckland Council,Auckland,Meola Inner,Waitematā Harbour (Central),-36.85698615,174.7092041,1/01/2011,Lead,mg/kg,53.9
Auckland Council,Auckland,Meola Inner,Waitematā Harbour (Central),-36.85698615,174.7092041,1/01/2011,Zinc,mg/kg,243
Auckland Council,Auckland,Meola Inner,Waitematā Harbour (Central),-36.85698615,174.7092041,1/01/2011,Mud_content,%,59.5
Auckland Council,Auckland,Meola Inner,Waitematā Harbour (Central),-36.85698615,174.7092041,1/01/2011,Macrofauna,N/A,5.32
Auckland Council,Auckland,Meola Outer,Waitematā Harbour (Central),-36.85056818,174.7086013,1/01/2019,Arsenic,mg/kg,3.5
Auckland Council,Auckland,Meola Outer,Waitematā Harbour (Central),-36.85056818,174.7086013,1/01/2019,Copper,mg/kg,4.2
Auckland Council,Auckland,Meola Outer,Waitematā Harbour (Central),-36.85056818,174.7086013,1/01/2019,Lead,mg/kg,9.6
Auckland Council,Auckland,Meola Outer,Waitematā Harbour (Central),-36.85056818,174.7086013,1/01/2019,Mercury,mg/kg,0.03
Auckland Council,Auckland,Meola Outer,Waitematā Harbour (Central),-36.85056818,174.7086013,1/01/2019,Zinc,mg/kg,40
Auckland Council,Auckland,Meola Outer,Waitematā Harbour (Central),-36.85056818,174.7086013,1/01/2019,Mud_content,%,5.7
Auckland Council,Auckland,Meola Outer,Waitematā Harbour (Central),-36.85056818,174.7086013,1/01/2019,Macrofauna,N/A,2.79
Auckland Council,Auckland,Meola Outer,Waitematā Harbour (Central),-36.85056818,174.7086013,1/01/2017,Arsenic,mg/kg,2.9
Auckland Council,Auckland,Meola Outer,Waitematā Harbour (Central),-36.85056818,174.7086013,1/01/2017,Copper,mg/kg,3.7
Auckland Council,Auckland,Meola Outer,Waitematā Harbour (Central),-36.85056818,174.7086013,1/01/2017,Lead,mg/kg,9
Auckland Council,Auckland,Meola Outer,Waitematā Harbour (Central),-36.85056818,174.7086013,1/01/2017,Mercury,mg/kg,0.03
Auckland Council,Auckland,Meola Outer,Waitematā Harbour (Central),-36.85056818,174.7086013,1/01/2017,Zinc,mg/kg,39
Auckland Council,Auckland,Meola Outer,Waitematā Harbour (Central),-36.85056818,174.7086013,1/01/2017,Mud_content,%,5.4
Auckland Council,Auckland,Meola Outer,Waitematā Harbour (Central),-36.85056818,174.7086013,1/01/2017,Macrofauna,N/A,3.04
Auckland Council,Auckland,Meola Outer,Waitematā Harbour (Central),-36.85056818,174.7086013,1/01/2012,Arsenic,mg/kg,2.9
Auckland Council,Auckland,Meola Outer,Waitematā Harbour (Central),-36.85056818,174.7086013,1/01/2012,Copper,mg/kg,3.9
Auckland Council,Auckland,Meola Outer,Waitematā Harbour (Central),-36.85056818,174.7086013,1/01/2012,Lead,mg/kg,9
Auckland Council,Auckland,Meola Outer,Waitematā Harbour (Central),-36.85056818,174.7086013,1/01/2012,Mercury,mg/kg,0.04
Auckland Council,Auckland,Meola Outer,Waitematā Harbour (Central),-36.85056818,174.7086013,1/01/2012,Zinc,mg/kg,36
Auckland Council,Auckland,Meola Outer,Waitematā Harbour (Central),-36.85056818,174.7086013,1/01/2012,Mud_content,%,4.2
Auckland Council,Auckland,Meola Outer,Waitematā Harbour (Central),-36.85056818,174.7086013,1/01/2012,Macrofauna,N/A,3.29
Auckland Council,Auckland,Meola Outer,Waitematā Harbour (Central),-36.85056818,174.7086013,1/01/2010,Copper,mg/kg,3
Auckland Council,Auckland,Meola Outer,Waitematā Harbour (Central),-36.85056818,174.7086013,1/01/2010,Lead,mg/kg,9.3
Auckland Council,Auckland,Meola Outer,Waitematā Harbour (Central),-36.85056818,174.7086013,1/01/2010,Zinc,mg/kg,34
Auckland Council,Auckland,Meola Outer,Waitematā Harbour (Central),-36.85056818,174.7086013,1/01/2010,Mud_content,%,4.5
Auckland Council,Auckland,Meola Outer,Waitematā Harbour (Central),-36.85056818,174.7086013,1/01/2010,Macrofauna,N/A,2.69
Auckland Council,Auckland,Meola Reef,Waitematā Harbour (Central),-36.84530641,174.7172094,1/01/2021,Mud_content,%,10.4
Auckland Council,Auckland,Meola Reef,Waitematā Harbour (Central),-36.84530641,174.7172094,1/01/2019,Arsenic,mg/kg,4.7
Auckland Council,Auckland,Meola Reef,Waitematā Harbour (Central),-36.84530641,174.7172094,1/01/2019,Copper,mg/kg,7.7
Auckland Council,Auckland,Meola Reef,Waitematā Harbour (Central),-36.84530641,174.7172094,1/01/2019,Lead,mg/kg,15.8
Auckland Council,Auckland,Meola Reef,Waitematā Harbour (Central),-36.84530641,174.7172094,1/01/2019,Mercury,mg/kg,0.08
Auckland Council,Auckland,Meola Reef,Waitematā Harbour (Central),-36.84530641,174.7172094,1/01/2019,Zinc,mg/kg,85
Auckland Council,Auckland,Meola Reef,Waitematā Harbour (Central),-36.84530641,174.7172094,1/01/2019,Mud_content,%,13.9
Auckland Council,Auckland,Meola Reef,Waitematā Harbour (Central),-36.84530641,174.7172094,1/01/2019,Macrofauna,N/A,3.89
Auckland Council,Auckland,Meola Reef,Waitematā Harbour (Central),-36.84530641,174.7172094,1/01/2018,Arsenic,mg/kg,3.8
Auckland Council,Auckland,Meola Reef,Waitematā Harbour (Central),-36.84530641,174.7172094,1/01/2018,Copper,mg/kg,6.4
Auckland Council,Auckland,Meola Reef,Waitematā Harbour (Central),-36.84530641,174.7172094,1/01/2018,Lead,mg/kg,13.1
Auckland Council,Auckland,Meola Reef,Waitematā Harbour (Central),-36.84530641,174.7172094,1/01/2018,Mercury,mg/kg,0.08
Auckland Council,Auckland,Meola Reef,Waitematā Harbour (Central),-36.84530641,174.7172094,1/01/2018,Zinc,mg/kg,75
Auckland Council,Auckland,Meola Reef,Waitematā Harbour (Central),-36.84530641,174.7172094,1/01/2018,Mud_content,%,10.4
Auckland Council,Auckland,Meola Reef,Waitematā Harbour (Central),-36.84530641,174.7172094,1/01/2017,Mud_content,%,10.1
Auckland Council,Auckland,Meola Reef,Waitematā Harbour (Central),-36.84530641,174.7172094,1/01/2016,Mud_content,%,9.9
Auckland Council,Auckland,Meola Reef,Waitematā Harbour (Central),-36.84530641,174.7172094,1/01/2016,Macrofauna,N/A,3.79
Auckland Council,Auckland,Meola Reef,Waitematā Harbour (Central),-36.84530641,174.7172094,1/01/2015,Mud_content,%,11
Auckland Council,Auckland,Meola Reef,Waitematā Harbour (Central),-36.84530641,174.7172094,1/01/2015,Macrofauna,N/A,3.89
Auckland Council,Auckland,Meola Reef,Waitematā Harbour (Central),-36.84530641,174.7172094,1/01/2013,Macrofauna,N/A,4.15
Auckland Council,Auckland,Meola Reef,Waitematā Harbour (Central),-36.84530641,174.7172094,1/01/2011,Mud_content,%,31.9
Auckland Council,Auckland,Meola Reef,Waitematā Harbour (Central),-36.84530641,174.7172094,1/01/2011,Macrofauna,N/A,4.06
Auckland Council,Auckland,Meola Reef,Waitematā Harbour (Central),-36.84530641,174.7172094,1/01/2010,Mud_content,%,14
Auckland Council,Auckland,Motions,Waitematā Harbour (Central),-36.85627743,174.7114764,1/01/2020,Arsenic,mg/kg,6.5
Auckland Council,Auckland,Motions,Waitematā Harbour (Central),-36.85627743,174.7114764,1/01/2020,Copper,mg/kg,17
Auckland Council,Auckland,Motions,Waitematā Harbour (Central),-36.85627743,174.7114764,1/01/2020,Lead,mg/kg,33.2
Auckland Council,Auckland,Motions,Waitematā Harbour (Central),-36.85627743,174.7114764,1/01/2020,Mercury,mg/kg,0.14
Auckland Council,Auckland,Motions,Waitematā Harbour (Central),-36.85627743,174.7114764,1/01/2020,Zinc,mg/kg,242
Auckland Council,Auckland,Motions,Waitematā Harbour (Central),-36.85627743,174.7114764,1/01/2020,Mud_content,%,22.6
Auckland Council,Auckland,Motions,Waitematā Harbour (Central),-36.85627743,174.7114764,1/01/2020,Macrofauna,N/A,4.72
Auckland Council,Auckland,Motions,Waitematā Harbour (Central),-36.85627743,174.7114764,1/01/2018,Arsenic,mg/kg,6.2
Auckland Council,Auckland,Motions,Waitematā Harbour (Central),-36.85627743,174.7114764,1/01/2018,Copper,mg/kg,16.2
Auckland Council,Auckland,Motions,Waitematā Harbour (Central),-36.85627743,174.7114764,1/01/2018,Lead,mg/kg,33.1
Auckland Council,Auckland,Motions,Waitematā Harbour (Central),-36.85627743,174.7114764,1/01/2018,Mercury,mg/kg,0.17
Auckland Council,Auckland,Motions,Waitematā Harbour (Central),-36.85627743,174.7114764,1/01/2018,Zinc,mg/kg,255
Auckland Council,Auckland,Motions,Waitematā Harbour (Central),-36.85627743,174.7114764,1/01/2018,Mud_content,%,17.9
Auckland Council,Auckland,Motions,Waitematā Harbour (Central),-36.85627743,174.7114764,1/01/2018,Macrofauna,N/A,4.64
Auckland Council,Auckland,Motions,Waitematā Harbour (Central),-36.85627743,174.7114764,1/01/2016,Arsenic,mg/kg,5.9
Auckland Council,Auckland,Motions,Waitematā Harbour (Central),-36.85627743,174.7114764,1/01/2016,Copper,mg/kg,14.9
Auckland Council,Auckland,Motions,Waitematā Harbour (Central),-36.85627743,174.7114764,1/01/2016,Lead,mg/kg,37.3
Auckland Council,Auckland,Motions,Waitematā Harbour (Central),-36.85627743,174.7114764,1/01/2016,Mercury,mg/kg,0.17
Auckland Council,Auckland,Motions,Waitematā Harbour (Central),-36.85627743,174.7114764,1/01/2016,Zinc,mg/kg,220
Auckland Council,Auckland,Motions,Waitematā Harbour (Central),-36.85627743,174.7114764,1/01/2016,Mud_content,%,20.9
Auckland Council,Auckland,Motions,Waitematā Harbour (Central),-36.85627743,174.7114764,1/01/2016,Macrofauna,N/A,4.52
Auckland Council,Auckland,Motions,Waitematā Harbour (Central),-36.85627743,174.7114764,1/01/2013,Arsenic,mg/kg,6.3
Auckland Council,Auckland,Motions,Waitematā Harbour (Central),-36.85627743,174.7114764,1/01/2013,Copper,mg/kg,19
Auckland Council,Auckland,Motions,Waitematā Harbour (Central),-36.85627743,174.7114764,1/01/2013,Lead,mg/kg,40.3
Auckland Council,Auckland,Motions,Waitematā Harbour (Central),-36.85627743,174.7114764,1/01/2013,Mercury,mg/kg,0.23
Auckland Council,Auckland,Motions,Waitematā Harbour (Central),-36.85627743,174.7114764,1/01/2013,Zinc,mg/kg,257
Auckland Council,Auckland,Motions,Waitematā Harbour (Central),-36.85627743,174.7114764,1/01/2013,Mud_content,%,23.1
Auckland Council,Auckland,Motions,Waitematā Harbour (Central),-36.85627743,174.7114764,1/01/2013,Macrofauna,N/A,4.33
Auckland Council,Auckland,Motions,Waitematā Harbour (Central),-36.85627743,174.7114764,1/01/2011,Copper,mg/kg,17.7
Auckland Council,Auckland,Motions,Waitematā Harbour (Central),-36.85627743,174.7114764,1/01/2011,Lead,mg/kg,37.7
Auckland Council,Auckland,Motions,Waitematā Harbour (Central),-36.85627743,174.7114764,1/01/2011,Zinc,mg/kg,249
Auckland Council,Auckland,Motions,Waitematā Harbour (Central),-36.85627743,174.7114764,1/01/2011,Mud_content,%,21.6
Auckland Council,Auckland,Motions,Waitematā Harbour (Central),-36.85627743,174.7114764,1/01/2011,Macrofauna,N/A,4.77
Auckland Council,Auckland,Motu Manawa,Waitematā Harbour (Central),-36.87024929,174.683652,1/01/2020,Arsenic,mg/kg,7
Auckland Council,Auckland,Motu Manawa,Waitematā Harbour (Central),-36.87024929,174.683652,1/01/2020,Copper,mg/kg,10.5
Auckland Council,Auckland,Motu Manawa,Waitematā Harbour (Central),-36.87024929,174.683652,1/01/2020,Lead,mg/kg,19.3
Auckland Council,Auckland,Motu Manawa,Waitematā Harbour (Central),-36.87024929,174.683652,1/01/2020,Mercury,mg/kg,0.09
Auckland Council,Auckland,Motu Manawa,Waitematā Harbour (Central),-36.87024929,174.683652,1/01/2020,Zinc,mg/kg,86
Auckland Council,Auckland,Motu Manawa,Waitematā Harbour (Central),-36.87024929,174.683652,1/01/2020,Mud_content,%,31.1
Auckland Council,Auckland,Motu Manawa,Waitematā Harbour (Central),-36.87024929,174.683652,1/01/2020,Macrofauna,N/A,4.27
Auckland Council,Auckland,Motu Manawa,Waitematā Harbour (Central),-36.87024929,174.683652,1/01/2018,Arsenic,mg/kg,7.2
Auckland Council,Auckland,Motu Manawa,Waitematā Harbour (Central),-36.87024929,174.683652,1/01/2018,Copper,mg/kg,9.4
Auckland Council,Auckland,Motu Manawa,Waitematā Harbour (Central),-36.87024929,174.683652,1/01/2018,Lead,mg/kg,17.9
Auckland Council,Auckland,Motu Manawa,Waitematā Harbour (Central),-36.87024929,174.683652,1/01/2018,Mercury,mg/kg,0.09
Auckland Council,Auckland,Motu Manawa,Waitematā Harbour (Central),-36.87024929,174.683652,1/01/2018,Zinc,mg/kg,89
Auckland Council,Auckland,Motu Manawa,Waitematā Harbour (Central),-36.87024929,174.683652,1/01/2018,Mud_content,%,35.3
Auckland Council,Auckland,Motu Manawa,Waitematā Harbour (Central),-36.87024929,174.683652,1/01/2018,Macrofauna,N/A,4.2
Auckland Council,Auckland,Motu Manawa,Waitematā Harbour (Central),-36.87024929,174.683652,1/01/2016,Arsenic,mg/kg,8.4
Auckland Council,Auckland,Motu Manawa,Waitematā Harbour (Central),-36.87024929,174.683652,1/01/2016,Copper,mg/kg,10.5
Auckland Council,Auckland,Motu Manawa,Waitematā Harbour (Central),-36.87024929,174.683652,1/01/2016,Lead,mg/kg,21.9
Auckland Council,Auckland,Motu Manawa,Waitematā Harbour (Central),-36.87024929,174.683652,1/01/2016,Mercury,mg/kg,0.11
Auckland Council,Auckland,Motu Manawa,Waitematā Harbour (Central),-36.87024929,174.683652,1/01/2016,Zinc,mg/kg,82
Auckland Council,Auckland,Motu Manawa,Waitematā Harbour (Central),-36.87024929,174.683652,1/01/2016,Mud_content,%,37.6
Auckland Council,Auckland,Motu Manawa,Waitematā Harbour (Central),-36.87024929,174.683652,1/01/2016,Macrofauna,N/A,3.74
Auckland Council,Auckland,Motu Manawa,Waitematā Harbour (Central),-36.87024929,174.683652,1/01/2013,Arsenic,mg/kg,6.6
Auckland Council,Auckland,Motu Manawa,Waitematā Harbour (Central),-36.87024929,174.683652,1/01/2013,Copper,mg/kg,8.4
Auckland Council,Auckland,Motu Manawa,Waitematā Harbour (Central),-36.87024929,174.683652,1/01/2013,Lead,mg/kg,17.1
Auckland Council,Auckland,Motu Manawa,Waitematā Harbour (Central),-36.87024929,174.683652,1/01/2013,Mercury,mg/kg,0.09
Auckland Council,Auckland,Motu Manawa,Waitematā Harbour (Central),-36.87024929,174.683652,1/01/2013,Zinc,mg/kg,76
Auckland Council,Auckland,Motu Manawa,Waitematā Harbour (Central),-36.87024929,174.683652,1/01/2012,Macrofauna,N/A,3.37
Auckland Council,Auckland,Oakley Creek,Waitematā Harbour (Central),-36.87265794,174.6955521,1/01/2020,Arsenic,mg/kg,11.5
Auckland Council,Auckland,Oakley Creek,Waitematā Harbour (Central),-36.87265794,174.6955521,1/01/2020,Copper,mg/kg,23
Auckland Council,Auckland,Oakley Creek,Waitematā Harbour (Central),-36.87265794,174.6955521,1/01/2020,Lead,mg/kg,33.9
Auckland Council,Auckland,Oakley Creek,Waitematā Harbour (Central),-36.87265794,174.6955521,1/01/2020,Mercury,mg/kg,0.14
Auckland Council,Auckland,Oakley Creek,Waitematā Harbour (Central),-36.87265794,174.6955521,1/01/2020,Zinc,mg/kg,141
Auckland Council,Auckland,Oakley Creek,Waitematā Harbour (Central),-36.87265794,174.6955521,1/01/2020,Mud_content,%,75
Auckland Council,Auckland,Oakley Creek,Waitematā Harbour (Central),-36.87265794,174.6955521,1/01/2020,Macrofauna,N/A,4.67
Auckland Council,Auckland,Oakley Creek,Waitematā Harbour (Central),-36.87265794,174.6955521,1/01/2018,Arsenic,mg/kg,10.7
Auckland Council,Auckland,Oakley Creek,Waitematā Harbour (Central),-36.87265794,174.6955521,1/01/2018,Copper,mg/kg,23.2
Auckland Council,Auckland,Oakley Creek,Waitematā Harbour (Central),-36.87265794,174.6955521,1/01/2018,Lead,mg/kg,35.6
Auckland Council,Auckland,Oakley Creek,Waitematā Harbour (Central),-36.87265794,174.6955521,1/01/2018,Mercury,mg/kg,0.14
Auckland Council,Auckland,Oakley Creek,Waitematā Harbour (Central),-36.87265794,174.6955521,1/01/2018,Zinc,mg/kg,168
Auckland Council,Auckland,Oakley Creek,Waitematā Harbour (Central),-36.87265794,174.6955521,1/01/2018,Mud_content,%,72.8
Auckland Council,Auckland,Oakley Creek,Waitematā Harbour (Central),-36.87265794,174.6955521,1/01/2018,Macrofauna,N/A,4.17
Auckland Council,Auckland,Oakley Creek,Waitematā Harbour (Central),-36.87265794,174.6955521,1/01/2016,Arsenic,mg/kg,10.9
